Hero,Presence,Win Rate,KDA Ratio,GPM,XPM,Roles
Earth Spirit,0.0,0.49895117125582733,2.774708855670031,443.39916739155615,535.4577741344687,2
Riki,0.0,0.508346135476014,2.656247888614601,405.4478070587264,508.56863687736274,2
Drow Ranger,0.0,0.5048667323544007,2.8120514024613366,409.62659180574053,507.8453765817026,2
Phantom Assassin,0.0,0.4897204750514716,2.343853409190622,375.87686760154423,470.1437333845261,2
Batrider,0.0,0.4984525567999029,2.9553467001448337,437.3760630399844,537.0969893297273,2
Naga Siren,0.0,0.5029483664884579,2.7270168453341173,391.42544700058795,478.93059634450316,2
Brewmaster,0.0,0.5106186710265609,2.630246137767425,411.56653684560166,498.23034219497305,2
Io,0.0,0.5137159779313593,2.7269720016460357,381.98392078549034,473.96156495741707,2
Gyrocopter,0.0,0.4977495374531437,2.5136162651612723,401.5820485434218,495.14411236098766,2
Pangolier,0.0,0.4938985180432071,2.695641126601189,426.17939237113313,518.1717988856717,2
Night Stalker,0.0,0.4988244337979858,2.851239658311252,429.8236383885408,522.5413357513455,2
Timbersaw,0.0,0.5063758864264732,2.9659319186199467,440.9621323912408,533.1500396664574,2
Tusk,0.0,0.5066284633545491,2.5982390926893224,394.75151812664046,486.1679309950309,2
Hoodwink,0.0,0.5009647889069584,2.7807806330664357,436.40784156767194,528.7006570809133,2
Lycan,0.0,0.5024606145594142,2.7957102193388104,427.27953050336265,515.6402267629816,2
Weaver,0.0,0.49670774110299215,2.88567282020513,447.5829735251813,552.3908839357142,2
Venomancer,0.0,0.5028522938399321,2.8775358097724184,433.92946512514146,535.7142221216861,2
Earthshaker,0.0,0.5188113046241647,3.0295486179046764,478.6057268916696,555.1763417671381,2
Nyx Assassin,0.0,0.510976844349244,2.870060920109283,427.00844111763394,517.4425041031925,2
Dawnbreaker,0.0,0.5104306098764211,2.5332442130943456,343.2761175943809,440.8939605261692,2
Troll Warlord,0.0,0.5090954192847231,2.63475854975296,393.9102004918656,487.2343511087059,2
Rubick,0.0,0.49994866614014016,2.7289105147032044,444.7637746607729,528.2778806718385,2
Mars,0.0,0.5066928527186162,2.847418605171996,411.2442382534251,495.5934143462341,2
Spirit Breaker,0.0,0.5061997764835581,2.614556046959216,392.6349782226649,486.54991371024454,2
Dark Willow,0.0,0.5089093364795079,2.7187971176652135,400.29215420092277,495.7282681654271,2
Shadow Demon,0.0,0.48124336335639833,2.650822799044262,415.8285564141473,499.30715006435014,2
Winter Wyvern,0.0,0.5124120944225188,2.563231521416783,394.9452063052341,490.3335270680628,2
Bane,0.0,0.500717188616705,2.8299052950312666,442.33237321977697,535.6186099761533,2
Techies,0.0,0.5047191692926852,2.744762490806782,416.911154860952,510.8299052247315,2
Ursa,0.0,0.5115383173025034,2.6477389050484574,395.5909934580264,486.85831256198566,2
